Region,,Province,,Municipality,,Barangay,,Project Name,# of Brgys., Estimated Total Cost (P) 2nd MIBF , KALAHI GRANT , Community & LGU Counterpart Commitments (LCC) , Grant Funds Released  , Tranches , LCC Delivered , Total Utilized , Grant Funds Utilized , LCC Utilized ,% Utilized from Grant released* ,% LCC utilized over delivered,% LCC delivered over committed,% Financial Accomplishment (Grant + LCC),% Physical Progress as of June 2010,1st MIBF / MIBF-PDPRA Date,2nd MIBF / MIBF-EC Date,Start Date (SPI),Completion Date,Inauguration Date,Duration of SP Construction (Calendar Days), No. of Direct HH Beneficiaries ,Remarks,# of SPs,Cluster
CAR,14,Abra,1401,San Quintin,140123,Palang,140123002,Const. of 3 units artesian deepwell,1,"265,355.00","173,075.00","92,280.00","172,300.00",,"142,080.00","314,380.00","172,300.00","142,080.00",100%,100%,154%,118%,100%,13-Mar-07,n/a,10-Jun-07,29-Aug-07,no data,80,44,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Palang,140123002,Construction of 1 Unit Day Care Center,1,"571,571.00","400,100.00","171,471.00","382,330.34",,"172,571.00","554,901.34","382,330.34","172,571.00",100%,100%,101%,97%,100%,16-Sep-08,no data,29-Jan-09,31-May-09,no data,122,44,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Palang,140123002,Construction of Palang Proper Water System,1,"682,946.95","478,948.13","203,998.82","384,708.68",,"203,998.82","588,707.50","384,708.68","203,998.82",100%,100%,100%,86%,100%,25-Mar-09,no data,23-May-09,15-Jun-09,no data,23,136,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Pantoc,140123003,Improvement of Water Supply System,1,"577,621.00","404,891.00","172,730.00","404,891.00",,"184,142.00","589,033.00","404,891.00","184,142.00",100%,100%,107%,102%,100%,13-Mar-07,n/a,3-Jan-08,30-Jun-08,no data,179,91,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Pantoc,140123003,Construction of 2 Classroom Building,1,"881,100.00","616,770.00","264,330.00","555,570.00",,"264,330.00","819,900.00","555,570.00","264,330.00",100%,100%,100%,93%,100%,16-Sep-08,no data,28-Jan-09,29-May-09,4-Jun-09,121,75,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Pantoc,140123003,Construction of Barangay Road Riprap,1,"674,230.00","473,460.47","200,769.53","380,703.60",,"200,769.53","581,473.13","380,703.60","200,769.53",100%,100%,100%,86%,100%,25-Mar-09,no data,21-May-09,17-Jun-09,18-Jun-09,27,137,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Poblacion,140123004,Const. of ECCD Center,1,"503,454.00","362,494.00","140,960.00","362,494.00",,"246,315.24","608,809.24","362,494.00","246,315.24",100%,100%,175%,121%,100%,13-Mar-07,n/a,22-Aug-07,28-May-08,no data,280,190,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Poblacion,140123004,Improvement of Poblacion 3 Classroom Building,1,"575,708.00","402,996.00","172,712.00","365,720.51",,"122,712.00","488,432.51","365,720.51","122,712.00",100%,100%,71%,85%,100%,16-Sep-08,no data,28-Jan-09,12-Mar-09,23-Mar-09,43,163,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Poblacion,140123004,Improvement of 4-Units High School Building,1,"632,120.00","444,146.43","187,973.57","444,041.32",,"187,973.77","632,015.09","444,041.32","187,973.77",100%,100%,100%,100%,100%,25-Mar-09,no data,11-May-09,2-Jun-09,10-Jun-09,22,204,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Tangadan,140123005,Improvement of Water Supply System,1,"464,560.00","313,810.00","150,750.00","313,810.00",,"231,437.48","545,247.48","313,810.00","231,437.48",100%,100%,154%,117%,100%,13-Mar-07,n/a,20-Feb-08,22-Dec-08,no data,306,168,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Villa Mercedes,140123006,Improvement of Water Supply System,1,"407,635.00","284,335.00","123,300.00","284,335.00",,"124,300.00","408,635.00","284,335.00","124,300.00",100%,100%,101%,100%,100%,13-Mar-07,n/a,15-Feb-08,15-Jul-08,no data,151,146,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Villa Mercedes,140123006,Construction of Purok Water System,1,"310,619.00","178,541.00","132,078.00","170,151.00",,"132,078.00","302,229.00","170,151.00","132,078.00",100%,100%,100%,97%,100%,16-Sep-08,no data,28-Jan-09,15-Mar-09,n/a,46,74,,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Agsimao - C7,140125001,Road Improvement - C7,7,"5,510,000.00","3,000,000.00","2,510,000.00","3,000,000.00",,"2,510,000.00","5,510,000.00","3,000,000.00","2,510,000.00",100%,100%,100%,100%,100%,16-Mar-05,24-Jun-05,1-Sep-05,30-Aug-06,no data,363,471,,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Alaoa - C7,140125002,Road Improvement - C7,7,"5,510,000.00","3,000,000.00","2,510,000.00","3,000,000.00",,"2,510,000.00","5,510,000.00","3,000,000.00","2,510,000.00",100%,100%,100%,100%,100%,16-Mar-05,24-Jun-05,1-Sep-05,30-Aug-06,no data,363,471,,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Lapat-Balantay - C7,140125009,Road Improvement - C7,7,"5,510,000.00","3,000,000.00","2,510,000.00","3,000,000.00",,"2,510,000.00","5,510,000.00","3,000,000.00","2,510,000.00",100%,100%,100%,100%,100%,16-Mar-05,24-Jun-05,1-Sep-05,30-Aug-06,no data,363,471,,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Naglibacan- C7,140125010,Road Improvement - C7,7,"5,510,000.00","3,000,000.00","2,510,000.00","3,000,000.00",,"2,510,000.00","5,510,000.00","3,000,000.00","2,510,000.00",100%,100%,100%,100%,100%,16-Mar-05,24-Jun-05,1-Sep-05,30-Aug-06,no data,363,471,,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Anayan - C7,140125003,Road Improvement - C7,7,"5,510,000.00","3,000,000.00","2,510,000.00","3,000,000.00",,"2,510,000.00","5,510,000.00","3,000,000.00","2,510,000.00",100%,100%,100%,100%,100%,16-Mar-05,24-Jun-05,1-Sep-05,30-Aug-06,no data,363,471,,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Balaat - C7,140125005,Road Improvement - C7,7,"5,510,000.00","3,000,000.00","2,510,000.00","3,000,000.00",,"2,510,000.00","5,510,000.00","3,000,000.00","2,510,000.00",100%,100%,100%,100%,100%,16-Mar-05,24-Jun-05,1-Sep-05,30-Aug-06,no data,363,471,,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Cogon - C7,140125007,Road Improvement - C7,7,"5,510,000.00","3,000,000.00","2,510,000.00","3,000,000.00",,"2,510,000.00","5,510,000.00","3,000,000.00","2,510,000.00",100%,100%,100%,100%,100%,16-Mar-05,24-Jun-05,1-Sep-05,30-Aug-06,no data,363,471,,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Agsimao - C9,140125001,Road Improvement - C9,9,"4,264,880.00","2,800,000.00","1,464,880.00","2,520,000.00",,"846,340.00","3,363,540.24","2,520,000.00","843,540.24",100%,100%,58%,79%,100%,13-Jun-06,10-Jul-06,6-Nov-07,completed as built,no data,#VALUE!,626,completed as built,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Alaoa - C9,140125002,Road Improvement - C9,9,"4,264,880.00","2,800,000.00","1,464,880.00","2,520,000.00",,"846,340.00","3,363,540.24","2,520,000.00","843,540.24",100%,100%,58%,79%,100%,13-Jun-06,10-Jul-06,6-Nov-07,completed as built,no data,#VALUE!,626,completed as built,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Lapat-Balantay - C9,140125009,Road Improvement - C9,9,"4,264,880.00","2,800,000.00","1,464,880.00","2,520,000.00",,"846,340.00","3,363,540.24","2,520,000.00","843,540.24",100%,100%,58%,79%,100%,13-Jun-06,10-Jul-06,6-Nov-07,completed as built,no data,#VALUE!,626,completed as built,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Naglibacan - C9,140125010,Road Improvement - C9,9,"4,264,880.00","2,800,000.00","1,464,880.00","2,520,000.00",,"846,340.00","3,363,540.24","2,520,000.00","843,540.24",100%,100%,58%,79%,100%,13-Jun-06,10-Jul-06,6-Nov-07,completed as built,no data,#VALUE!,626,completed as built,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Anayan - C9,140125003,Road Improvement - C9,9,"4,264,880.00","2,800,000.00","1,464,880.00","2,520,000.00",,"846,340.00","3,363,540.24","2,520,000.00","843,540.24",100%,100%,58%,79%,100%,13-Jun-06,10-Jul-06,6-Nov-07,completed as built,no data,#VALUE!,626,completed as built,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Belaat - C9,140125005,Road Improvement - C9,9,"4,264,880.00","2,800,000.00","1,464,880.00","2,520,000.00",,"846,340.00","3,363,540.24","2,520,000.00","843,540.24",100%,100%,58%,79%,100%,13-Jun-06,10-Jul-06,6-Nov-07,completed as built,no data,#VALUE!,626,completed as built,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Cogon - C9,140125007,Road Improvement - C9,9,"4,264,880.00","2,800,000.00","1,464,880.00","2,520,000.00",,"846,340.00","3,363,540.24","2,520,000.00","843,540.24",100%,100%,58%,79%,100%,13-Jun-06,10-Jul-06,6-Nov-07,completed as built,no data,#VALUE!,626,completed as built,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Caganayan - C9,140125006,Road Improvement - C9,9,"4,264,880.00","2,800,000.00","1,464,880.00","2,520,000.00",,"846,340.00","3,363,540.24","2,520,000.00","843,540.24",100%,100%,58%,79%,100%,13-Jun-06,10-Jul-06,6-Nov-07,completed as built,no data,#VALUE!,626,completed as built,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Lanec - C9,140125008,Road Improvement - C9,9,"4,264,880.00","2,800,000.00","1,464,880.00","2,520,000.00",,"846,340.00","3,363,540.24","2,520,000.00","843,540.24",100%,100%,58%,79%,100%,13-Jun-06,10-Jul-06,6-Nov-07,completed as built,no data,#VALUE!,626,completed as built,1,LUZON
CAR,14,Abra,1401,Tineg,140125,Apao,140125004,Water System,1,"407,602.00","200,000.00","207,602.00","160,000.00",,"185,092.58","345,092.58","160,000.00","185,092.58",100%,100%,89%,85%,100%,13-Jun-06,10-Jul-06,25-Oct-06,25-Jan-08,no data,457,25,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Amduntog,142711001,Inomili-Kinabba Concrete Pathway,1,"299,012.00","173,797.80","125,214.20","173,797.80",,"126,214.20","300,012.00","173,797.80","126,214.20",100%,100%,101%,100%,100%,17-Feb-05,7-Apr-05,15-May-05,15-Aug-05,30-Aug-05,92,215,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Amduntog,142711001,Nalnay-Bahag FMR Improvement,1,"564,512.00","499,598.00","64,914.00","491,698.00",,"80,876.00","572,574.00","491,698.00","80,876.00",100%,100%,125%,101%,100%,19-Nov-08,no data,9-May-09,26-Aug-09,no data,109,79,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Antipolo,142711002,Napayew Multi Purpose Solar Drier,1,"234,869.00","121,908.00","112,961.00","121,908.00",,"184,047.30","305,955.30","121,908.00","184,047.30",100%,100%,163%,130%,100%,26-Nov-03,5-Feb-04,7-May-04,15-Jul-04,15-Jul-04,69,183,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Antipolo,142711002,Habengan-Antipolo Concrete Footbridge,1,"175,794.60","101,527.00","74,267.60","101,527.00",,"75,267.60","176,794.60","101,527.00","75,267.60",100%,100%,101%,101%,100%,17-Feb-05,7-Apr-05,4-Jul-05,15-Dec-05,20-Dec-05,164,195,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Antipolo,142711002,Day Care Center Const.,1,"1,177,570.71","455,000.00","722,570.71","455,000.00",,"725,570.71","1,180,570.71","455,000.00","725,570.71",100%,100%,100%,100%,100%,10-Feb-06,25-Apr-06,19-Jul-06,29-Dec-06,30-Dec-06,163,183,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Antipolo,142711002,Proper Antipolo to Hipat Pathway Construction,1,"524,049.00","437,749.00","86,300.00","419,228.00",,"114,204.60","533,432.60","419,228.00","114,204.60",100%,100%,132%,102%,100%,19-Nov-08,no data,16-Apr-09,29-May-09,no data,43,70,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Camandag  ,142711003,Improvement of Camandag Communal Irrigation System,1,"434,020.00","379,992.00","54,028.00","303,993.60",,"56,848.00","360,841.60","303,993.60","56,848.00",100%,100%,105%,83%,100%,19-Nov-08,no data,25-Mar-09,28-Aug-09,no data,156,37,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Camandag - C2,142711003,Towel cable Bridge - C2c,2,"747,435.16","526,227.00","221,208.16","526,227.00",,"223,503.22","749,730.22","526,227.00","223,503.22",100%,100%,101%,100%,100%,26-Nov-03,5-Feb-04,25-Jun-04,18-Oct-04,26-Oct-04,115,205,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Camandag - C5,142711003,Farm to Market Road Improvement - C5,5,"1,321,281.00","792,085.00","529,196.00","792,085.00",,"529,196.00","1,321,281.00","792,085.00","529,196.00",100%,100%,100%,100%,100%,10-Feb-06,25-Apr-06,29-May-06,31-Aug-06,20-Nov-05,94,411,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Cawayan - C2,142711004,Pula-Cawayan FMR Improvement - C2d,2,"1,553,535.90","598,383.00","955,152.90","598,383.00",,"849,005.12","1,447,388.12","598,383.00","849,005.12",100%,100%,89%,93%,100%,17-Feb-05,7-Apr-05,28-Jun-05,20-Jul-05,16-Aug-05,22,411,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Cawayan - C5,142711004,Farm to Market Road Improvement - C5,5,"1,321,281.00","792,085.00","529,196.00","792,085.00",,"529,196.00","1,321,281.00","792,085.00","529,196.00",100%,100%,100%,100%,100%,10-Feb-06,25-Apr-06,29-May-06,31-Aug-06,20-Nov-05,94,411,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Duli,,Lanak-Hamhamaan FMR Improvement,1,"1,158,636.80","515,631.00","643,005.80","515,631.00",,"461,757.30","977,388.30","515,631.00","461,757.30",100%,100%,72%,84%,100%,17-Feb-05,7-Apr-05,20-May-05,18-Nov-05,20-Nov-05,182,207,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Duli - C2,,Towel cable Bridge - C2c,2,"747,435.16","526,227.00","221,208.16","526,227.00",,"223,503.22","749,730.22","526,227.00","223,503.22",100%,100%,101%,100%,100%,26-Nov-03,5-Feb-04,25-Jun-04,18-Oct-04,26-Oct-04,115,205,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Duli - C5,,Farm to Market Road Improvement - C5,5,"1,321,281.00","792,085.00","529,196.00","792,085.00",,"529,196.00","1,321,281.00","792,085.00","529,196.00",100%,100%,100%,100%,100%,10-Feb-06,25-Apr-06,29-May-06,31-Aug-06,20-Nov-05,94,411,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Duli  SEZ,,Hamhamaan to Tadyukong FMR Improvement,1,"358,260.00","318,860.00","39,400.00","255,088.00",,"61,080.00","316,168.00","255,088.00","61,080.00",100%,100%,155%,88%,100%,19-Nov-08,no data,6-Jun-09,20-Aug-09,no data,75,212,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Haliap,142711005,Haliap Water System,1,"814,447.30","334,690.00","479,757.30","334,690.00",,"361,290.67","695,980.67","334,690.00","361,290.67",100%,100%,75%,85%,100%,17-Feb-05,7-Apr-05,21-Jun-05,31-Oct-05,14-Nov-05,132,166,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Liwon,,Water Supply System Rehabilitation and Extension,1,"224,011.73","150,062.00","73,949.73","150,062.00",,"100,199.73","250,261.73","150,062.00","100,199.73",100%,100%,135%,112%,100%,26-Nov-03,5-Feb-04,25-May-04,13-Jul-04,13-Jul-04,49,126,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Liwon - C3,,Bahag-Liwon Farm to Market Road Improvement - C3,3,"1,124,195.68","699,900.00","424,295.68","699,900.00",,"334,412.50","1,034,312.50","699,900.00","334,412.50",100%,100%,79%,92%,100%,17-Feb-05,7-Apr-05,20-May-05,20-Aug-05,22-Aug-05,92,355,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Liwon  SEZ,,Improvement Along Bawi to Liwon Road,1,"500,002.20","465,415.00","34,587.20","454,584.00",,"53,593.00","508,177.00","454,584.00","53,593.00",100%,100%,155%,102%,100%,19-Nov-08,no data,21-May-09,19-Jun-09,no data,29,114,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Namal,142711006,Guinambang-Takak Footpath and Foot Bridge,1,"288,874.20","178,543.00","110,331.20","178,543.00",,"111,330.70","289,873.70","178,543.00","111,330.70",100%,100%,101%,100%,100%,26-Nov-03,5-Feb-04,30-Mar-04,15-Oct-04,13-Nov-04,199,142,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Namal- C3,142711006,Bahag-Liwon Farm to Market Road Improvement - C3,3,"1,124,195.68","699,900.00","424,295.68","699,900.00",,"334,412.50","1,034,312.50","699,900.00","334,412.50",100%,100%,79%,92%,100%,17-Feb-05,7-Apr-05,20-May-05,20-Aug-05,22-Aug-05,92,355,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Nampaling,,Brgy Health Station,1,"524,735.20","351,222.00","173,513.20","351,222.00",,"180,532.14","531,754.14","351,222.00","180,532.14",100%,100%,104%,101%,100%,26-Nov-03,5-Feb-04,30-Mar-04,20-Oct-04,12-Nov-04,204,143,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Nampaling - C3,,Bahag-Liwon Farm to Market Road Improvement - C3,3,"1,124,195.68","699,900.00","424,295.68","699,900.00",,"334,412.50","1,034,312.50","699,900.00","334,412.50",100%,100%,79%,92%,100%,17-Feb-05,7-Apr-05,20-May-05,20-Aug-05,22-Aug-05,92,355,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Natcak,,Pah-Duan Cable Bridge,1,"537,106.22","346,536.00","190,570.22","346,536.00",,"144,442.47","490,978.47","346,536.00","144,442.47",100%,100%,76%,91%,100%,26-Nov-03,5-Feb-04,10-Aug-04,11-Oct-04,28-Oct-04,62,106,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Natcak - C5,,Farm to Market Road Improvement - C5,5,"1,321,281.00","792,085.00","529,196.00","792,085.00",,"529,196.00","1,321,281.00","792,085.00","529,196.00",100%,100%,100%,100%,100%,10-Feb-06,25-Apr-06,29-May-06,31-Aug-06,20-Nov-05,94,411,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Natcak SEZ,,Construction of Banihal-Bunalan Sledge Trail,1,"406,680.00","316,000.00","90,680.00","312,936.17",,"107,885.00","420,821.17","312,936.17","107,885.00",100%,100%,119%,103%,100%,19-Nov-08,no data,14-Mar-09,19-Aug-09,no data,158,258,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Nungawa,142711007,Boco-Nungawa Concrete Foot Path,1,"395,948.18","221,807.00","174,141.18","221,807.00",,"165,245.48","387,052.48","221,807.00","165,245.48",100%,100%,95%,98%,100%,26-Nov-03,5-Feb-04,1-Apr-04,17-Jul-04,17-Jul-04,107,90,,1,LUZON
CAR,14,Ifugao,1427,Asipulo,142711,Nungawa,142711007,Ayuhip-Bocco Farm to Market Road Improvement,1,"339,317.05","203,319.60","135,997.45","203,319.50",,"125,737.60","329,057.10","203,319.50","125,737.60",100%,100%,92%,97%,100%,17-Feb-05,7-Apr-05,16-May-05,24-Jun-05,11-Aug-05,39,90,,1,LUZON
